fecha_entrada,fecha_salida,precio_entrada,precio_salida,pnl_price,tipo,mae_price,mfe_price,lotes,swap_usd,comision_usd,pnl_bruto_usd,pnl_neto_usd,mae_usd,mfe_usd,retorno_trade,balance_operativo,ganancias_apartadas,patrimonio_total,peak,drawdown_abs,drawdown_pct
2026-01-05 01:25:00,2026-01-05 02:05:00,0.91952,0.9189700000000001,0.0005499999999999394,Cierre_Señal,9.00000000000345e-05,0.003029999999999977,0.21750478510527232,0.0,0.0,11.962763180788661,11.962763180788661,1.9575430659482012,65.90394988689702,0.0011962763180788662,10000.0,11.962763180788897,10011.962763180789,10011.962763180789,0.0,0.0
2026-01-05 06:45:00,2026-01-05 07:25:00,0.91888,0.91845,0.00043000000000004146,Cierre_Señal,0.00010999999999994348,0.0008099999999999774,0.21765627720703465,0.0,0.0,9.359219919903394,9.359219919903394,2.394219049276151,17.630158453769315,0.0009359219919903394,10000.0,21.321983100691796,10021.321983100692,10021.321983100692,0.0,0.0
2026-01-05 08:05:00,2026-01-06 03:35:00,0.91893,0.92381,-0.0048799999999999955,Cierre_Señal,0.005789999999999962,0.0006099999999999994,0.2176444342877042,-1.4991348633737065,0.0,-106.21048393239954,-107.70961879577325,126.01612745257988,13.276310491549943,-0.010770961879577325,9913.612364304918,0.0,9913.612364304918,10021.321983100692,107.70961879577408,1.0748044916370176
2026-01-06 04:15:00,2026-01-06 10:55:00,0.92446,0.92537,-0.0009100000000000774,Cierre_Señal,0.0024800000000000377,0.0008099999999999774,0.21447358164344413,0.0,0.0,-19.517095929555076,-19.517095929555076,53.18944824757495,17.37236011311849,-0.0019687168725527927,9894.095268375362,0.0,9894.095268375362,10021.321983100692,127.22671472532966,1.2695601931549205
2026-01-06 16:15:00,2026-01-07 09:05:00,0.92632,0.93265,-0.006329999999999947,Cierre_Señal,0.008199999999999985,0.0005500000000000504,0.21362154046928408,-1.4714251707524288,0.0,-135.22243511705568,-136.69386028780812,175.16966318481263,11.749184725811702,-0.01381570083772335,9757.401408087553,0.0,9757.401408087553,10021.321983100692,263.92057501313866,2.633590413103154
2026-01-08 03:55:00,2026-01-08 04:35:00,0.93209,0.9311200000000001,0.0009699999999999154,Cierre_Señal,0.000160000000000049,0.0016899999999999693,0.20936607855652464,0.0,0.0,20.308509619981116,20.308509619981116,3.34985725690542,35.382867276052025,0.0020813440762156342,9777.709917707534,0.0,9777.709917707534,10021.321983100692,243.61206539315754,2.4309374132870807
2026-01-09 00:05:00,2026-01-09 03:25:00,0.92852,0.92828,0.00024000000000001798,Cierre_Señal,0.0007500000000000284,0.0008299999999999974,0.21060849346718508,0.0,0.0,5.054603843212821,5.054603843212821,15.79563701003948,17.480504957776308,0.000516951708094641,9782.764521550747,0.0,9782.764521550747,10021.321983100692,238.5574615499445,2.3804989197256843
2026-01-09 04:05:00,2026-01-09 08:45:00,0.92854,0.92837,0.00017000000000000348,Cierre_Señal,0.0005399999999999849,0.0010000000000000009,0.21071282920608153,0.0,0.0,3.5821180965034594,3.5821180965034594,11.378492777128086,21.07128292060817,0.0003661662394727281,9786.34663964725,0.0,9786.34663964725,10021.321983100692,234.97534345344138,2.34475395411592
2026-01-09 16:05:00,2026-01-09 17:25:00,0.92824,0.92711,0.0011299999999999644,Cierre_Señal,0.0013400000000000079,0.002589999999999981,0.21085811082580475,0.0,0.0,23.826966523315185,23.826966523315185,28.254986850658003,54.612250703883035,0.0024347151598723697,9810.173606170565,0.0,9810.173606170565,10021.321983100692,211.1483769301267,2.1069912461269444
2026-01-09 18:05:00,2026-01-09 23:50:00,0.92801,0.9307,-0.00268999999999997,Cierre_Viernes,0.002789999999999959,0.0010599999999999499,0.21142387703086313,0.0,0.0,-56.873022921301555,-56.873022921301555,58.987261691609945,22.41093096527043,-0.005797351321645177,9753.300583249264,0.0,9753.300583249264,10021.321983100692,268.0213998514282,2.674511409806033
2026-01-12 02:45:00,2026-01-12 05:25:00,0.93102,0.9305100000000001,0.0005099999999998994,Cierre_Señal,0.0002500000000000835,0.0011799999999999589,0.20951860504069222,0.0,0.0,10.685448857073196,10.685448857073196,5.237965126019055,24.72319539480082,0.0010955725977957497,9763.986032106337,0.0,9763.986032106337,10021.321983100692,257.3359509943548,2.5678842714395316
2026-01-12 16:05:00,2026-01-12 17:25:00,0.93143,0.93132,0.00010999999999994348,Cierre_Señal,0.0005399999999999849,0.0007899999999999574,0.20965582023568785,0.0,0.0,2.3062140225913814,2.3062140225913814,11.321414292726828,16.562809798618446,0.0002361959567545462,9766.292246128929,0.0,9766.292246128929,10021.321983100692,255.02973697176276,2.5448711996463977
2026-01-12 18:45:00,2026-01-12 21:25:00,0.93194,0.9313400000000001,0.0005999999999999339,Cierre_Señal,0.00043000000000004146,0.0009200000000000319,0.20959057978258105,0.0,0.0,12.575434786953478,12.575434786953478,9.012394930651855,19.282333339998125,0.0012876365431249521,9778.867680915882,0.0,9778.867680915882,10021.321983100692,242.45430218480942,2.419384414488115
2026-01-15 09:55:00,2026-01-16 16:45:00,0.9287,0.93027,-0.0015700000000000713,Cierre_Señal,0.003350000000000075,0.0006499999999999284,0.2105926064588324,-4.351685619865313,0.0,-33.06303921403819,-37.414724833903506,70.54852316371044,13.688519419822597,-0.0038260794659202573,9741.45295608198,0.0,9741.45295608198,10021.321983100692,279.8690270187126,2.792735604051697
2026-01-16 20:45:00,2026-01-16 22:05:00,0.93081,0.93025,0.0005600000000000049,Cierre_Señal,2.999999999997449e-05,0.0007700000000000484,0.20931130856097332,0.0,0.0,11.72143327941461,11.72143327941461,0.627933925682386,16.11697075919596,0.001203253080650197,9753.174389361393,0.0,9753.174389361393,10021.321983100692,268.1475937392988,2.6757706637057024
2026-01-19 13:17:00,2026-01-20 11:27:00,0.93049,0.93044,4.999999999999449e-05,Cierre_Señal,0.003229999999999955,0.0005399999999999849,0.20963523282058685,-1.4439674836682022,0.0,1.0481761641028189,-0.39579131956538327,67.71218020104861,11.320302572311375,-4.058076927211577e-05,9752.778598041828,0.0,9752.778598041828,10021.321983100692,268.54338505886335,2.6797201558009762
2026-01-20 12:33:00,2026-01-23 23:50:00,0.9306,0.94502,-0.014419999999999988,Cierre_Viernes,0.014569999999999972,0.0010000000000000009,0.20960194708879923,-7.218691057738246,0.0,-302.24600770204825,-309.4646987597865,305.3900369083799,20.96019470887994,-0.03173092628411774,9443.313899282042,0.0,9443.313899282042,10021.321983100692,578.0080838186495,5.767782781486963
2026-01-27 01:23:00,2026-01-27 10:55:00,0.94794,0.9482700000000001,-0.0003300000000000525,Cierre_Señal,0.0023900000000000032,0.0011100000000000554,0.19923864167103492,0.0,0.0,-6.574875175145197,-6.574875175145197,47.61803535937741,22.11548922548598,-0.0006962465978860527,9436.739024106897,0.0,9436.739024106897,10021.321983100692,584.5829589937948,5.833391642136613
2026-01-27 12:13:00,2026-01-27 15:41:00,0.94913,0.94932,-0.00019000000000002348,Cierre_Señal,0.0018199999999999328,0.00041000000000002146,0.19885029498818702,0.0,0.0,-3.7781556047760203,-3.7781556047760203,36.190753687848705,8.152862094516093,-0.00040036665156516704,9432.960868502121,0.0,9432.960868502121,10021.321983100692,588.3611145985706,5.871092811814097
2026-01-27 21:19:00,2026-01-28 06:35:00,0.94977,0.95018,-0.00041000000000002146,Cierre_Señal,0.004750000000000032,0.00046000000000001595,0.19863674086362218,-1.3682098710686295,0.0,-8.144106375408935,-9.512316246477564,94.35245191022116,9.137290079726936,-0.0010084125630416235,9423.448552255644,0.0,9423.448552255644,10021.321983100692,597.8734308450476,5.966013584368037
2026-01-28 07:01:00,2026-01-28 10:03:00,0.9505,0.9502900000000001,0.00020999999999993246,Cierre_Señal,0.0020200000000000218,0.0005800000000000249,0.19828403055772004,0.0,0.0,4.163964641710781,4.163964641710781,40.05337417265988,11.500473772348256,0.00044187269857955277,9427.612516897356,0.0,9427.612516897356,10021.321983100692,593.709466203336,5.92446253303236
2026-01-28 10:29:00,2026-01-28 10:55:00,0.95085,0.94925,0.0015999999999999348,Cierre_Señal,0.00024999999999997247,0.0020599999999999508,0.19829862789919242,0.0,0.0,31.727780463869497,31.727780463869497,4.957465697479265,40.84951734723266,0.0033654098964083397,9459.340297361225,0.0,9459.340297361225,10021.321983100692,561.9816857394671,5.6078597882311
